#,Title,Artist,Album,Length,BPM,Genre,Label,Composer,Remixer,Year,File name
1,"01 Martin Garrix gravity intro v3.wav","","",285,0,"","","","",0,"C:/Users/Jan/OneDrive/DJing/Intros/01 Martin Garrix gravity intro v3.wav"
2,"LMFAO - Party Rock Anthem (Lyrics) ft. Lauren Bennett, GoonRock","Loku","",296,0,"","","","",2020,"C:/Users/Jan/OneDrive/DJing/Vivis Party/Vivis BD Full List V1 Files/LMFAO - Party Rock Anthem (Lyrics) ft. Lauren Bennett, GoonRock.mp3"
3,"Good Grief (Don Diablo Remix) (Don Diablo Remix)","Bastille","",239,0,"Dance/Mainstream Club","","","",2016,"C:/Users/Jan/OneDrive/DJing/new from ZipDJ/zipdjtracks_2025-12-27_02-09-58_694f3feaad883/Bastille-Good_Grief__Don_Diablo_Remix_-Don_Diablo_Remix-76642405.mp3"
4,"Hangover [Intro Clean]","Taio Cruz ft Flo-Rida","BPMsupreme.com",260,128,"Pop","www.BPMsupreme.com","www.BPMsupreme.com","",2011,"C:/Users/Jan/OneDrive/DJing/Vivis Party/Vivis BD Full List V1 Files/4 Hangover [Intro Clean].mp3"
5,"Titanium (feat. Sia) (Extended) (Short Edit)","David Guetta","Titanium (feat. Sia)",252,0,"Dance","","","",2012,"C:/Users/Jan/OneDrive/DJing/Edits/01 - Titanium (feat. Sia) (Extended) (Short Edit).flac"
6,"Toxic (Cut End)","Britney Spears","In The Zone",141,0,"Pop","Jive","Cathy Dennis/Henrik Jonback/Christian Karlsson/Pontus Winnberg","",2003,"C:/Users/Jan/OneDrive/DJing/Edits/Britney Spears - Toxic (Cut End).mp3"
7,"Scream & Shout (Added Silence before Start)","will.i.am/Britney Spears","#willpower",284,0,"","","","",2013,"C:/Users/Jan/OneDrive/DJing/Edits/Scream & Shout (Added Silence before Start).mp3"
8,"DJ Got Us Fallin' In Love (feat. Pitbull)","USHER/Pitbull","Raymond v Raymond (Expanded Edition)",214,0,"","","","",2010,"C:/Users/Jan/OneDrive/DJing/other stuff/DJ Got Us Fallin' In Love (feat. Pitbull).mp3"
9,"Language (Extended Mix)","Porter Robinson","Porter Robinson EP Japan Limited Edition",371,0,"","","Porter Robinson","",2013,"C:/Users/Jan/OneDrive/DJing/EDM/02 Language (Extended Mix).flac"
10,"Zedd - Clarity (feat. Foxes)","Zedd","",272,0,"Music","","","",2012,"C:/Users/Jan/OneDrive/DJing/EDM/LQ Zedd - Clarity (feat. Foxes).mp3"
